rank,ts_code,name,industry,signal,confidence,tech_score,undervalue_score,accumulation_score,pe_ttm,pb,close,pct_chg,amount
1,002673.SZ,西部证券,证券,观望,0.864,-16.1,43.3,15.0,18.4798,1.1995,7.93,1.41,291846.148
2,688102.SH,斯瑞新材,铜,即将下跌,0.838,-20.7,15.3,60.0,199.501,17.0693,39.69,4.89,893624.25
3,600008.SH,首创环保,水务,观望,0.82,21.5,49.2,80.0,13.3432,1.1085,3.11,1.63,485226.633
4,300194.SZ,福安药业,化学制药,观望,0.791,-19.3,48.3,10.0,36.7223,1.1918,4.46,1.13,81546.151
5,001386.SZ,马可波罗,家居用品,观望,0.78,6.9,41.0,15.0,23.5712,2.4755,24.7,2.19,303767.855
6,000750.SZ,国海证券,证券,观望,0.779,-18.3,40.1,0.0,35.086,1.1921,4.21,1.2,315657.664
7,600879.SH,航天电子,航空,即将下跌,0.773,-24.9,22.0,0.0,431.8273,4.0649,25.57,6.28,6836541.627
8,600906.SH,财达证券,证券,观望,0.767,-7.5,51.1,65.0,22.701,1.8275,6.86,1.18,161846.328
9,601333.SH,广深铁路,铁路,观望,0.753,2.0,46.6,80.0,16.9068,0.7841,3.12,1.3,221780.831
10,600664.SH,哈药股份,化学制药,观望,0.746,-10.7,54.4,75.0,19.7374,1.5669,3.52,1.15,83414.432
11,000783.SZ,长江证券,证券,即将下跌,0.733,-24.8,55.5,20.0,11.6063,1.2306,7.92,1.15,442881.862
12,300046.SZ,台基股份,半导体,观望,0.726,-17.8,23.2,10.0,135.8507,7.5361,36.43,1.79,253903.842
13,002390.SZ,信邦制药,医药商业,观望,0.717,5.9,41.0,70.0,85.9543,0.9822,3.41,1.79,117171.546
14,001205.SZ,盛航股份,水运,即将启动,0.713,24.1,45.8,20.0,40.7429,1.4811,16.4,1.11,115657.421
15,601238.SH,广汽集团,汽车整车,观望,0.712,-7.6,36.5,35.0,,0.747,8.09,1.76,280423.338
16,600881.SH,亚泰集团,综合类,观望,0.71,5.1,38.9,75.0,,3.487,1.83,1.67,116583.245
17,600843.SH,上工申贝,纺织机械,观望,0.706,16.7,38.7,25.0,,2.6829,11.45,1.24,140201.175
18,600155.SH,华创云信,证券,观望,0.705,-0.2,31.2,60.0,95.488,0.7576,6.84,1.48,230151.558
19,600864.SH,哈投股份,证券,观望,0.704,-17.9,42.6,20.0,21.9511,1.0294,6.55,1.24,176323.693
20,300059.SZ,东方财富,证券,观望,0.701,-18.2,34.5,5.0,28.3748,4.0435,22.74,1.47,5823308.971
21,601200.SH,上海环境,环境保护,观望,0.698,4.8,46.2,10.0,19.3071,0.9905,8.53,1.91,130614.126
22,002146.SZ,荣盛发展,全国地产,即将启动,0.689,25.3,33.6,15.0,,0.6221,1.7,3.66,461672.778
23,002670.SZ,国盛证券,证券,观望,0.687,-4.4,31.4,10.0,95.2878,2.7509,16.07,1.26,294285.634
24,301005.SZ,超捷股份,汽车配件,即将下跌,0.684,-22.8,11.3,70.0,1651.3069,29.0969,166.68,6.82,2247882.945
25,600118.SH,中国卫星,航空,即将下跌,0.683,-26.9,23.2,5.0,1825.1976,16.5151,88.7,3.02,5249193.113
26,000756.SZ,新华制药,化学制药,即将下跌,0.683,-22.2,55.2,50.0,29.0038,2.1324,15.91,1.14,148201.873
27,001236.SZ,弘业期货,多元金融,观望,0.681,11.2,14.7,80.0,662.7063,5.5007,10.19,2.31,119951.45
28,002584.SZ,西陇科学,化工原料,观望,0.68,-8.3,40.7,65.0,,2.3673,9.07,2.37,250524.784
29,301009.SZ,可靠股份,造纸,观望,0.678,15.8,22.0,15.0,99.2549,2.7604,13.54,1.88,103655.428
30,600162.SH,香江控股,全国地产,即将启动,0.666,21.7,31.6,65.0,,1.1022,1.95,3.17,144108.31
31,600483.SH,福能股份,新型电力,即将启动,0.661,39.1,54.7,80.0,8.8792,1.0181,9.61,3.44,499597.364
32,300230.SZ,永利股份,塑料,即将启动,0.66,50.7,51.4,75.0,19.549,1.3452,5.39,1.7,255977.201
33,601519.SH,大智慧,软件服务,即将下跌,0.659,-28.4,28.7,65.0,,18.2474,12.44,2.22,440035.864
34,300705.SZ,九典制药,化学制药,观望,0.658,16.5,54.2,80.0,16.7366,2.9778,15.69,1.42,97039.453
35,300387.SZ,富邦科技,农药化肥,即将启动,0.657,43.3,41.3,70.0,35.3393,1.9602,10.06,5.67,457591.186
36,002730.SZ,电光科技,专用机械,即将启动,0.655,54.2,17.7,85.0,64.4181,3.7699,16.96,1.86,269874.373
