rank,ts_code,name,industry,signal,confidence,tech_score,undervalue_score,accumulation_score,pe_ttm,pb,close,pct_chg,amount
1,600909.SH,华安证券,证券,即将下跌,0.614,-27.5,78.2,80.0,14.4084,1.3081,6.48,1.25,477261.548
2,600170.SH,上海建工,建筑工程,观望,0.459,-0.1,66.6,80.0,13.0605,0.839,2.98,2.05,966837.487
3,603759.SH,海天股份,水务,即将下跌,0.545,-28.8,65.3,60.0,18.8767,1.7514,10.8,1.5,86471.826
4,600551.SH,时代出版,出版业,观望,0.529,6.6,64.9,70.0,14.1042,1.0113,8.64,1.41,84254.005
5,600153.SH,建发股份,仓储物流,观望,0.487,13.6,62.5,80.0,13.7843,0.5093,9.68,3.42,256958.98
6,601618.SH,中国中冶,建筑工程,即将启动,0.441,23.6,62.5,80.0,16.748,0.6232,3.14,1.29,2076101.913
7,600064.SH,南京高科,园区开发,观望,0.576,19.5,60.5,75.0,6.6975,0.7908,9.0,1.47,229096.661
8,000877.SZ,天山股份,水泥,观望,0.545,6.3,60.4,80.0,20.0427,0.4825,5.55,1.65,246289.553
9,600639.SH,浦东金桥,园区开发,即将启动,0.515,36.9,60.0,65.0,12.858,0.8431,10.88,1.78,101902.803
10,002124.SZ,天邦食品,农业综合,即将下跌,0.541,-24.1,59.8,55.0,14.9241,1.4285,2.53,1.61,97535.845
11,600585.SH,海螺水泥,水泥,观望,0.1,46.2,59.2,65.0,15.882,0.7343,26.38,5.86,2731409.79
12,002572.SZ,索菲亚,家居用品,观望,0.411,7.8,58.8,15.0,12.4333,1.9515,14.6,2.74,198150.879
13,600866.SH,星湖科技,饲料,即将启动,0.477,30.6,58.6,75.0,9.8698,1.5219,7.61,4.25,444526.597
14,600179.SH,安通控股,水运,观望,0.386,11.4,57.5,75.0,19.2741,1.876,5.07,4.11,798972.018
15,600595.SH,中孚实业,铝,观望,0.366,-14.4,57.4,10.0,29.0001,2.0227,8.42,3.57,822325.283
16,600801.SH,华新建材,水泥,即将下跌,0.464,-20.1,56.9,25.0,14.9638,1.5908,23.62,4.56,352634.838
17,600248.SH,陕建股份,建筑工程,观望,0.632,-4.6,56.1,5.0,12.1858,0.4672,3.61,1.12,122123.493
18,603055.SH,台华新材,纺织,即将启动,0.57,44.6,55.9,75.0,16.7247,1.7089,9.88,7.04,284289.762
19,601611.SH,中国核建,建筑工程,观望,0.52,-10.5,55.9,75.0,28.1255,2.2204,16.01,3.22,1161356.333
20,600398.SH,海澜之家,服饰,即将启动,0.584,22.3,55.6,80.0,14.2718,1.6745,6.28,1.95,387914.098
21,000897.SZ,津滨发展,区域地产,观望,0.469,21.4,55.5,85.0,24.4717,1.237,2.35,3.98,228459.904
22,000783.SZ,长江证券,证券,即将下跌,0.733,-24.8,55.5,20.0,11.6063,1.2306,7.92,1.15,442881.862
23,000756.SZ,新华制药,化学制药,即将下跌,0.683,-22.2,55.2,50.0,29.0038,2.1324,15.91,1.14,148201.873
24,002318.SZ,久立特材,特种钢,即将启动,0.376,25.5,55.1,80.0,20.1955,4.2273,35.28,1.15,369906.857
25,601168.SH,西部矿业,铜,观望,0.42,6.6,54.9,65.0,25.8787,4.6267,34.15,4.27,2097579.679
26,601555.SH,东吴证券,证券,观望,0.558,3.8,54.9,75.0,13.4625,1.1225,9.4,1.18,619205.507
